Instances,,,SamplingCA (k=10),,,,SamplingCA (k=50),,,,SamplingCA (k=100),,,,SamplingCA (k=500),,,,SamplingCA (k=1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
sleb,,136,153.91,4.33479999999999,,101,109.43,14.8707999999999,,95,99.72,26.6597999999999,,83,87.08,114.362899999999,,80,82.97,218.0029
smdk2410,,177,200.98,6.05759999999999,,134,142.39,21.5802999999999,,121,128.43,38.4796,,107,111.33,164.2164,,102,106.15,311.2255
snds,,144,160.01,4.77779999999999,,106,114.74,16.4577,,99,105.45,29.8244999999999,,88,91.9,126.690799999999,,85,87.85,242.5215
sparc_erc32,,131,151.44,4.1186,,101,109.03,14.2250999999999,,94,99.07,25.7918,,82,86.35,110.1048,,79,82.68,210.831699999999
sparc_leon,,127,151.76,4.1038,,102,108.71,14.35,,94,99.04,25.7375,,82,86.37,110.7054,,79,82.99,211.8371
sparclite_sim,,129,149.63,3.97319999999999,,102,107.89,14.1024,,94,99.31,25.8405,,82,86.48,110.302199999999,,79,82.95,210.3222
stb,,139,159.2,4.94599999999999,,107,113.56,16.9741,,98,104.22,30.8308,,86,90.45,131.797299999999,,82,86.83,253.5193
stdeval1,,136,155.99,4.4669,,105,112.96,15.3525,,97,103.25,27.7632,,86,89.82,118.6754,,82,85.85,226.372899999999
stm3210e_eval,,139,157.69,4.96819999999999,,106,112.51,17.3133,,97,102.73,31.4514999999999,,85,89.65,134.930699999999,,82,85.76,255.6023
toybox,,18,18.88,0.132399999999999,,16,17.01,0.466899999999999,,15,16.39,0.912099999999999,,14,15.67,4.33719999999999,,14,15.43,8.6087
ts1000,,143,165.87,5.49629999999999,,112,118.36,19.0952,,102,108.26,34.6037,,89,93.92,147.809899999999,,87,90.27,280.288
ts6,,147,165.23,5.05169999999999,,109,117.67,17.2859,,102,107.96,31.5189999999999,,90,94.09,134.6105,,85,89.83,256.6444
tx39_sim,,127,150.34,4.2048,,101,108.56,14.484,,95,99.4,26.2699,,81,86.45,112.4682,,79,82.82,215.6136
uClinux-config,,83,95.27,241.1052,,66,70.74,814.459699999999,,63,66.45,1498.42409999999,,56,59.71,8150.727,,56,57.86,14560.3456
uClinux,,22,23.38,1.6618,,21,22.09,6.95449999999999,,21,21.84,13.6341,,20,21.03,64.2157999999999,,20,20.95,126.763299999999
uE250,,145,161.4,5.01449999999999,,109,116.98,17.4459,,101,106.8,31.3768999999999,,88,93.02,135.064099999999,,84,89.11,259.536299999999
vads,,144,164.52,5.05979999999999,,111,118.68,17.4699,,102,108.57,31.5084999999999,,90,93.59,134.5275,,85,89.99,256.592
viper,,147,166.96,5.57199999999999,,111,118.35,19.0926,,102,108.53,34.7095,,89,93.86,147.711699999999,,87,90.02,282.0596
vrc4373,,141,158.05,4.85649999999999,,105,112.27,16.5964,,97,103.25,30.4528,,85,89.74,130.3919,,82,85.94,250.751199999999
vrc4375,,148,168.63,5.30099999999999,,113,120.13,18.396,,102,109.78,33.0607,,90,95.22,140.229399999999,,87,91.13,268.744799999999
XSEngine,,143,167.65,5.11209999999999,,111,117.16,17.7718,,102,107.95,32.4992,,89,93.19,138.028,,85,89.3,264.368299999999
