Instances,,,SamplingCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
ts1000,,102,108.26,34.6037,,470,530.91,131.519499999999,,150,158.17,49.2360999999999,,775,869.89,86.4632999999999
ts6,,102,107.96,31.5189999999999,,452,507.64,121.9137,,147,158.19,45.3421999999999,,716,840.93,80.0852999999999
tx39_sim,,95,99.4,26.2699,,413,468.73,98.2082999999999,,138,146.14,38.0587,,674,778.14,65.2277
uClinux-config,,63,66.45,1498.42409999999,,-,-,-,,95,98.9,2214.75959999999,,-,-,-
uClinux,,21,21.84,13.6341,,20,21.68,22.0526,,23,23.59,14.6061,,21,21.8,13.3236
uE250,,101,106.8,31.3768999999999,,454,503.54,118.6982,,146,156.97,45.9167,,713,788.21,81.8293999999999
vads,,102,108.57,31.5084999999999,,436,508.19,122.880099999999,,150,158.71,45.34,,736,839.71,80.2505
viper,,102,108.53,34.7095,,453,536.01,133.896499999999,,150,158.42,49.7089,,794,865.91,89.6617
vrc4373,,97,103.25,30.4528,,443,521.63,114.1777,,142,153.16,44.3536999999999,,779,860.72,76.2667999999999
vrc4375,,102,109.78,33.0607,,462,539.48,124.387299999999,,154,160.05,46.9973999999999,,789,876.29,82.4289999999999
XSEngine,,102,107.95,32.4992,,425,519,119.8626,,149,157.67,46.6107,,789,847.73,82.6264999999999
